date,AKBNK,ARCLK,ASELS,BIMAS,DOHOL,EKGYO,EREGL,FROTO,GARAN,HALKB,ISCTR,KCHOL,KOZAA,KOZAL,KRDMD,PETKM,PGSUS,SAHOL,SISE,SODA,TAVHL,TCELL,THYAO,TKFEN,TOASO,TSKB,TTKOM,TUPRS,VAKBN,YKBNK
2018-02-07 07:09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5797783516523192,,,
2018-02-07 07:33:00,,,,,,,,,,,,,,,,,,-0.7873963177466874,,,,,,,,,,,,
2018-02-07 08:48:00,,,0.17008058184264319,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.34391410691506974
2018-02-07 08:50:00,,,0.7957803803234216,,,,,,,,,,,,,,,-0.15716579243394957,,,0.8376388877132304,,,,,,,,,
2018-02-07 08:59:00,,,,,,,,,,,,,0.5595950246626873,,,0.43449989231876396,,,,,,,,,,,,,,
2018-02-07 09:04:00,,,-0.0677954023599725,,-0.44628386617989046,,0.9091546593309623,,,,,,,,,,,,,,,,,-0.09173385829687097,,,,-0.34820260915880397,,0.9541499794334432
2018-02-07 09:05:00,,,-0.8067541958665159,,,,0.5182376799078268,,,,,,,,,,,,,,,,,-0.8901523531255087,,,,0.23169526734247303,,
2018-02-07 09:16:00,-0.3458627044152054,,,,,,,,,,0.6721495604891554,,,,-0.3774349537368782,-0.4067708641179191,-0.047713894037019866,,,,,,-0.6408137065294124,,0.7647707908876533,,0.8339723157129402,,,0.8172309144159726
2018-02-07 09:19:00,-0.8584938889316769,,,,,,,,-0.19821528072962025,,,,,,,,,,,,,,,,,,,,,-0.12231621853888908
2018-02-07 09:22:00,,,,,,,,,,,,-0.9396502279098684,,,,,,,0.20225348504856266,,,,,,,,,,,
2018-02-07 09:27:00,,,-0.4096663483454426,-0.04175530361457258,0.9162061893416018,,,,,,,,,,,,,,,,,,,,,,0.8970956157974632,,,
2018-02-07 09:28:00,,,,,,,,,,,,,,,-0.10199902863765908,,,,-0.9415095063312722,,,,,,,,,,,
2018-02-07 09:31:00,,,,,,,,,,,,,,,,,,,,,,0.2669034317401804,,,,,,,,
